72,7274,54,869730,24,12,1
72,7274,54,230880,12,0,0
61,6131,49,1509844.54,50,18,1
39,3936,27,210728,9,7,1
49,4979,27,471851.93,15,6,1
89,8990,73,777586.46,32,9,1
39,3985,27,1354789.84,51,11,1
39,3936,27,448776.89,26,9,1
89,8988,73,766179.5,19,14,1
39,3936,73,532500.06,20,9,1
61,6194,48,304489.19,14,3,1
39,3961,27,670597.63,15,9,1
61,6124,48,315470,5,1,0
39,3936,27,199500,4,4,1
89,8988,73,199040,3,3,1
72,7283,54,200000,3,1,1
72,7256,54,516920,10,6,1
48,4879,35,188390,5,4,1
61,6123,48,120000,2,2,1
64,6479,46,701447.99,37,20,1
10,1085,6,387461.2,6,3,1
38,3861,22,386840,18,9,1
88,8867,75,350425.01,8,7,1
10,1088,75,1333848,24,17,1
10,1040,6,144611.98,32,9,1
64,6460,46,3800734.32,75,34,1
10,1094,6,499728,7,1,0
38,3874,22,681334.18,20,9,1
88,8861,75,503190,3,3,1
64,6450,50,656652.2,23,7,1
64,6469,46,1610524.15,30,26,1
10,1067,6,652999.97,12,6,1
38,3861,22,41150,5,1,0
88,8894,75,2015365.06,74,28,1
32,3267,22,835441.18,26,17,1
38,3813,22,-43897.2,4,0,0
88,8867,75,1173633,35,26,1
38,3858,22,100958.82,7,4,1
64,6403,50,947209.25,13,9,1
32,3230,22,-6483.33,8,2,1
10,1094,22,263450.19,10,4,1
32,3282,22,564898.35,30,17,1
64,6485,50,254096.82,10,4,1
64,6475,46,971270.63,38,9,1
64,6447,50,322780,8,4,1
38,3847,22,-39350,1,0,0
10,1020,6,355187.38,24,8,1
32,3230,22,234800,5,1,0
64,6447,50,849809.43,25,5,0
10,1067,6,-40091.71,8,1,0
10,1067,6,-21747.5,7,1,0
88,8878,75,415212.53,14,11,1
10,1094,6,129596.16,23,10,1
64,6475,46,181884,4,1,1
64,6450,46,847828.61,43,17,1
32,3224,22,948160.3,24,20,1
32,3224,22,-88365.01,4,1,1
88,8894,75,693197.37,35,22,1
64,6403,50,-80000,1,0,0
64,6450,46,334573.98,16,9,1
88,8894,75,841023.47,27,14,1
38,3847,22,173466.17,4,2,1
32,3288,22,4622451.2,91,32,1
64,6475,46,20399.73,5,2,1
38,3874,22,417998.07,14,7,1
64,6428,46,533230.3,23,12,1
64,6479,50,733509.5,35,8,1
64,6450,46,550078.33,27,14,1
88,8878,75,648915.57,24,4,0
64,6486,46,535160.74,17,11,1
64,6447,50,729877.22,21,11,1
64,6460,50,510171.73,10,6,1
64,6450,50,332479.34,14,8,1
10,1020,6,184118.84,17,4,1
88,8811,75,-77448.33,12,3,1
10,1020,6,304160,7,6,1
64,6450,46,523043.7,32,11,1
88,8850,75,176810.29,12,5,1
10,1067,6,-90375,1,0,0
88,8861,75,647584,9,3,1
64,6475,46,113747,2,1,1
88,8844,75,715496.34,29,12,1
64,6403,1,156918.32,15,4,1
10,1020,6,844098.58,23,13,1
64,6485,50,425827.3,43,15,1
64,6475,46,320103,15,9,1
64,6428,46,495426.43,14,10,1
64,6460,50,-177610,1,0,0
10,1020,6,395483.63,37,8,1
64,6486,46,625212.9,22,11,1
10,1006,50,643404.92,14,9,1
64,6475,46,596401.47,23,6,1
64,6486,46,741618.5,19,9,1
32,3267,22,752337.32,20,9,1
38,3858,22,360121.28,11,4,1
64,6486,46,725347.35,18,11,1
32,3282,22,611630.49,27,13,1
64,6475,46,952825.1,28,10,1
88,8867,75,1283245.72,29,14,1
64,6450,46,236958,4,3,1
27,2747,22,830513.83,18,9,1
88,8878,75,1242957.04,19,1,0
32,3230,22,130000,1,1,1
32,3267,22,398070,7,1,0
32,3230,22,307350,7,5,1
32,3291,22,197200,4,1,1
85,8576,45,342694.41,27,11,1
85,8503,64,1419294.86,48,19,1
52,5270,56,604750,10,6,1
49,4906,36,442242.02,42,15,1
49,4961,36,1961584.41,97,34,1
49,4952,36,3078900.88,92,22,1
27,2777,64,428350.68,21,7,1
49,4952,36,1618933.5,32,14,1
85,8549,64,617686.2,25,11,1
85,8592,64,1612920,40,18,1
52,5239,38,-459195,7,0,0
85,8573,45,399306.64,31,12,1
85,8558,45,-22050,1,0,0
85,8558,45,247127.16,19,2,0
85,8573,45,381996.3,9,5,1
52,5255,38,1618580,66,44,1
49,4994,36,700051.42,25,8,1
73,7385,67,460477.5,38,17,1
